anio,indicador,tamano_empresa,valor,indicador_std
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,32.04,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,9.69,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,27.57,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,12.53,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,53.4,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,10.62,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,24.84,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,16.69,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,45.5,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,8.66,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,10.47,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,2.25,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,8.72,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,9.86,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,4.06,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,0.94,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,33.08,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,1.82,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,31.06,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,14.28,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,38.19,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,24.14,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,39.31,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,14.43,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,36.54,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,26.62,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,25.96,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,10.72,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,37.1,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,15.1,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,87.47,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,33.27,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,36.79,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,86.96,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,27.37,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,12.87,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,33.57,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,23.85,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,28.99,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,2.75,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,9.83,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,28.99,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,14.37,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,8.58,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,51.1,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,11.84,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,11.29,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,21.3,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,50.71,pct_ventas_ecommerce_sobre_total_empresas_que_venden
