fecha,marca,valor_trends,n_posts,engagement_total
2023-11-01,hm,45.0,0.0,0.0
2023-11-01,mango,68.5,0.0,0.0
2023-11-01,massimo_dutti,41.0,0.0,0.0
2023-11-01,shein,87.25,0.0,0.0
2023-11-01,zara,70.0,0.0,0.0
2023-12-01,hm,40.0,0.0,0.0
2023-12-01,mango,59.2,0.0,0.0
2023-12-01,massimo_dutti,37.0,0.0,0.0
2023-12-01,shein,64.0,0.0,0.0
2023-12-01,zara,68.0,0.0,0.0
2024-01-01,hm,31.0,0.0,0.0
2024-01-01,mango,61.5,0.0,0.0
2024-01-01,massimo_dutti,47.0,0.0,0.0
2024-01-01,shein,80.5,0.0,0.0
2024-01-01,zara,64.5,0.0,0.0
2024-02-01,hm,21.0,0.0,0.0
2024-02-01,mango,48.25,0.0,0.0
2024-02-01,massimo_dutti,28.0,0.0,0.0
2024-02-01,shein,69.25,0.0,0.0
2024-02-01,zara,46.0,0.0,0.0
2024-03-01,hm,24.0,0.0,0.0
2024-03-01,mango,52.8,0.0,0.0
2024-03-01,massimo_dutti,27.0,0.0,0.0
2024-03-01,shein,79.6,0.0,0.0
2024-03-01,zara,50.4,0.0,0.0
2024-04-01,hm,26.0,0.0,0.0
2024-04-01,mango,55.25,0.0,0.0
2024-04-01,massimo_dutti,28.0,0.0,0.0
2024-04-01,shein,86.75,0.0,0.0
2024-04-01,zara,51.5,0.0,0.0
2024-05-01,hm,27.0,0.0,0.0
2024-05-01,mango,54.5,0.0,0.0
2024-05-01,massimo_dutti,28.0,0.0,0.0
2024-05-01,shein,92.25,0.0,0.0
2024-05-01,zara,54.75,0.0,0.0
2024-06-01,hm,30.0,0.0,0.0
2024-06-01,mango,56.8,0.0,0.0
2024-06-01,massimo_dutti,34.0,0.0,0.0
2024-06-01,shein,89.2,0.0,0.0
2024-06-01,zara,63.2,0.0,0.0
2024-07-01,hm,25.0,0.0,0.0
2024-07-01,mango,46.25,0.0,0.0
2024-07-01,massimo_dutti,33.0,0.0,0.0
2024-07-01,shein,80.25,0.0,0.0
2024-07-01,zara,51.75,0.0,0.0
2024-08-01,hm,21.0,0.0,0.0
2024-08-01,mango,44.0,0.0,0.0
2024-08-01,massimo_dutti,28.0,0.0,0.0
2024-08-01,shein,79.25,0.0,0.0
2024-08-01,zara,46.75,0.0,0.0
2024-09-01,hm,29.0,0.0,0.0
2024-09-01,mango,53.0,0.0,0.0
2024-09-01,massimo_dutti,34.0,0.0,0.0
2024-09-01,shein,83.6,0.0,0.0
2024-09-01,zara,56.0,0.0,0.0
2024-10-01,hm,29.0,0.0,0.0
2024-10-01,mango,53.0,0.0,0.0
2024-10-01,massimo_dutti,32.0,0.0,0.0
2024-10-01,shein,85.75,0.0,0.0
2024-10-01,zara,55.75,0.0,0.0
2024-11-01,hm,32.0,0.0,0.0
2024-11-01,mango,64.0,0.0,0.0
2024-11-01,massimo_dutti,36.0,0.0,0.0
2024-11-01,shein,92.75,0.0,0.0
2024-11-01,zara,68.75,0.0,0.0
2024-12-01,hm,34.0,0.0,0.0
2024-12-01,mango,77.0,0.0,0.0
2024-12-01,massimo_dutti,34.0,0.0,0.0
2024-12-01,shein,79.8,0.0,0.0
2024-12-01,zara,72.0,0.0,0.0
